
Time (milliseconds),Altitude (meters),Flight Stage (0-4),Filtered Altitude,Second Derivative,
76331.00,107.38,4.00,107.52,-0.00,
76381.00,107.09,4.00,107.39,0.00,
76431.00,107.78,4.00,107.50,-0.00,
76480.00,107.78,4.00,107.47,0.00,
76529.00,107.34,4.00,107.47,-0.00,
76578.00,106.94,4.00,107.38,-0.00,
76627.00,106.94,4.00,107.35,0.00,
76677.00,107.41,4.00,107.28,0.00,
76726.00,106.86,4.00,107.10,0.00,
76778.00,106.75,4.00,106.98,-0.00,
76906.00,107.08,4.00,107.01,0.00,
76956.00,107.01,4.00,107.02,0.00,
77005.00,107.48,4.00,107.04,-0.00,
77054.00,106.86,4.00,107.04,0.00,
77104.00,106.86,4.00,107.06,-0.00,
77153.00,107.22,4.00,107.09,0.00,
77203.00,106.90,4.00,107.07,0.00,
77252.00,106.90,4.00,106.95,-0.00,
77302.00,106.79,4.00,106.93,0.00,
77351.00,106.93,4.00,106.95,-0.00,
77400.00,107.51,4.00,107.01,0.00,
77449.00,107.51,4.00,107.13,0.00,
77500.00,107.15,4.00,107.18,-0.00,
77552.00,107.00,4.00,107.22,-0.00,
77601.00,107.00,4.00,107.23,0.00,
77650.00,107.65,4.00,107.26,0.00,
77699.00,107.36,4.00,107.23,0.00,
77749.00,107.50,4.00,107.30,-0.00,
77799.00,107.50,4.00,107.40,0.00,
77848.00,107.76,4.00,107.55,-0.00,
77898.00,107.42,4.00,107.51,0.00,
77947.00,107.42,4.00,107.52,-0.00,
77996.00,108.26,4.00,107.67,0.00,
78045.00,107.82,4.00,107.74,0.00,
78096.00,107.86,4.00,107.76,-0.00,
78145.00,107.86,4.00,107.84,0.00,
78194.00,107.78,4.00,107.92,-0.00,
78243.00,107.64,4.00,107.79,-0.00,
78295.00,107.64,4.00,107.75,-0.00,
78345.00,107.38,4.00,107.66,0.00,
78400.00,107.93,4.00,107.67,-0.00,
78450.00,107.63,4.00,107.64,0.00,
78499.00,107.63,4.00,107.64,-0.00,
78548.00,106.97,4.00,107.51,0.00,
78598.00,107.49,4.00,107.53,-0.00,
78647.00,106.79,4.00,107.30,0.00,
78697.00,106.79,4.00,107.14,-0.00,
78746.00,107.08,4.00,107.03,0.00,
78796.00,107.12,4.00,107.05,0.00,
78845.00,107.12,4.00,106.98,-0.00,
78894.00,107.08,4.00,107.04,-0.00,
78943.00,106.54,4.00,106.99,-0.00,
78996.00,106.94,4.00,106.96,-0.00,
79046.00,106.94,4.00,106.92,0.00,
79095.00,107.08,4.00,106.92,-0.00,
79144.00,106.83,4.00,106.87,0.00,
79193.00,106.83,4.00,106.92,-0.00,
79243.00,106.28,4.00,106.79,0.00,
79293.00,106.79,4.00,106.76,-0.00,
79342.00,106.90,4.00,106.73,0.00,
79392.00,106.90,4.00,106.74,-0.00,
79441.00,106.86,4.00,106.75,-0.00,
79490.00,106.86,4.00,106.86,-0.00,
79539.00,106.86,4.00,106.88,0.00,
79590.00,107.66,4.00,107.03,0.00,
79639.00,107.92,4.00,107.23,0.00,
79688.00,107.88,4.00,107.44,-0.00,
79740.00,107.88,4.00,107.64,-0.00,
79789.00,107.69,4.00,107.81,0.00,
79839.00,108.46,4.00,107.97,-0.00,
79894.00,107.80,4.00,107.94,0.00,
79944.00,107.87,4.00,107.94,-0.00,
79993.00,107.62,4.00,107.89,0.00,
80042.00,107.47,4.00,107.85,-0.00,
80092.00,107.47,4.00,107.65,0.00,
80142.00,108.13,4.00,107.71,0.00,
80191.00,107.47,4.00,107.63,0.00,
80240.00,107.47,4.00,107.60,-0.00,
80290.00,107.51,4.00,107.61,0.00,
80339.00,106.99,4.00,107.52,0.00,
80388.00,106.63,4.00,107.22,-0.00,
80441.00,106.63,4.00,107.05,0.00,
80491.00,107.25,4.00,107.00,0.00,
80540.00,106.96,4.00,106.89,0.00,
80589.00,107.18,4.00,106.93,-0.00,
80638.00,107.28,4.00,107.06,0.00,
80688.00,107.14,4.00,107.16,-0.00,
80737.00,107.32,4.00,107.18,-0.00,
80787.00,107.32,4.00,107.25,0.00,
80837.00,106.45,4.00,107.10,-0.00,
80886.00,106.15,4.00,106.88,-0.00,
80935.00,106.15,4.00,106.68,0.00,
80984.00,106.41,4.00,106.50,0.00,
81034.00,107.03,4.00,106.44,0.00,
81084.00,106.74,4.00,106.50,0.00,
81133.00,106.74,4.00,106.61,-0.00,
81185.00,106.77,4.00,106.74,0.00,
81234.00,107.39,4.00,106.94,0.00,
81283.00,106.80,4.00,106.89,0.00,
81332.00,106.80,4.00,106.90,-0.00,
81388.00,107.46,4.00,107.05,0.00,
81437.00,107.53,4.00,107.20,0.00,
81486.00,107.53,4.00,107.23,-0.00,
81536.00,107.13,4.00,107.29,-0.00,
81585.00,107.60,4.00,107.45,-0.00,
81635.00,107.16,4.00,107.39,0.00,
81684.00,107.16,4.00,107.32,-0.00,
81733.00,107.53,4.00,107.32,0.00,
81782.00,107.60,4.00,107.41,0.00,
81832.00,107.60,4.00,107.41,-0.00,
81883.00,107.71,4.00,107.52,-0.00,
81934.00,107.60,4.00,107.61,0.00,
81983.00,107.42,4.00,107.59,-0.00,
82032.00,107.42,4.00,107.55,-0.00,
82081.00,107.89,4.00,107.61,0.00,
82130.00,107.49,4.00,107.56,0.00,
82179.00,107.49,4.00,107.54,-0.00,
82228.00,107.49,4.00,107.55,0.00,
82307.00,107.16,4.00,107.50,0.00,
82356.00,107.52,4.00,107.43,-0.00,
82406.00,107.05,4.00,107.34,0.00,
82455.00,107.05,4.00,107.25,-0.00,
82504.00,106.97,4.00,107.15,0.00,
82553.00,106.83,4.00,107.08,-0.00,
82605.00,106.79,4.00,106.94,-0.00,
82654.00,106.79,4.00,106.88,0.00,
82705.00,106.68,4.00,106.81,0.00,
82754.00,106.21,4.00,106.66,-0.00,
82803.00,106.21,4.00,106.54,-0.00,
82853.00,107.48,4.00,106.68,0.00,
82902.00,105.99,4.00,106.51,0.00,
82958.00,105.91,4.00,106.36,-0.00,
83007.00,105.91,4.00,106.30,0.00,
83056.00,106.64,4.00,106.39,0.00,
83105.00,107.11,4.00,106.31,0.00,
83155.00,107.11,4.00,106.54,-0.00,
83204.00,107.26,4.00,106.81,-0.00,
83253.00,106.93,4.00,107.01,0.00,
83304.00,107.76,4.00,107.24,-0.00,
83356.00,107.76,4.00,107.37,0.00,
83405.00,108.02,4.00,107.55,-0.00,
83454.00,108.12,4.00,107.72,0.00,
83503.00,108.12,4.00,107.96,-0.00,
83553.00,107.64,4.00,107.93,-0.00,
83603.00,107.68,4.00,107.92,-0.00,
83652.00,107.43,4.00,107.80,0.00,
83701.00,107.43,4.00,107.66,-0.00,
83751.00,106.26,4.00,107.29,0.00,
83800.00,107.02,4.00,107.16,-0.00,
83849.00,107.02,4.00,107.03,0.00,
83900.00,107.68,4.00,107.08,-0.00,
83949.00,106.69,4.00,106.94,0.00,
83998.00,106.51,4.00,106.99,-0.00,
84050.00,106.51,4.00,106.88,0.00,
84099.00,107.97,4.00,107.07,0.00,
84149.00,106.36,4.00,106.81,0.00,
84199.00,106.36,4.00,106.74,-0.00,
84248.00,106.98,4.00,106.84,0.00,
84297.00,107.02,4.00,106.94,0.00,
84347.00,106.58,4.00,106.66,-0.00,
84396.00,106.58,4.00,106.70,-0.00,
84452.00,106.25,4.00,106.68,0.00,
84501.00,106.43,4.00,106.57,-0.00,
84550.00,106.22,4.00,106.41,0.00,
84599.00,106.22,4.00,106.34,-0.00,
84649.00,106.51,4.00,106.33,0.00,
84698.00,106.15,4.00,106.31,0.00,
84747.00,106.15,4.00,106.25,-0.00,
84800.00,106.00,4.00,106.20,0.00,
84849.00,106.69,4.00,106.30,-0.00,
84899.00,107.35,4.00,106.47,0.00,
84948.00,107.35,4.00,106.71,-0.00,
84997.00,107.64,4.00,107.00,-0.00,
85046.00,106.76,4.00,107.16,0.00,
85097.00,106.76,4.00,107.17,-0.00,
85146.00,107.45,4.00,107.19,0.00,
85195.00,107.27,4.00,107.18,0.00,
85244.00,106.57,4.00,106.96,-0.00,
85294.00,106.57,4.00,106.93,-0.00,
85343.00,107.59,4.00,107.09,0.00,
85393.00,108.14,4.00,107.23,0.00,
85443.00,108.14,4.00,107.40,-0.00,
85495.00,107.37,4.00,107.56,-0.00,
85544.00,106.68,4.00,107.58,-0.00,
85593.00,107.26,4.00,107.52,0.00,
85642.00,107.26,4.00,107.34,0.00,
85693.00,107.41,4.00,107.20,-0.00,
85742.00,107.52,4.00,107.22,0.00,
85791.00,107.52,4.00,107.39,-0.00,
85841.00,106.89,4.00,107.32,-0.00,
85890.00,106.46,4.00,107.16,-0.00,
85946.00,107.44,4.00,107.16,0.00,
85995.00,107.44,4.00,107.15,0.00,
86044.00,107.08,4.00,107.06,-0.00,
86094.00,106.35,4.00,106.95,-0.00,
86143.00,106.35,4.00,106.93,-0.00,
86195.00,107.11,4.00,106.87,0.00,
86245.00,107.30,4.00,106.84,0.00,
86294.00,106.20,4.00,106.66,-0.00,
86344.00,106.20,4.00,106.63,-0.00,
86393.00,106.57,4.00,106.68,0.00,
86442.00,106.90,4.00,106.63,0.00,
86492.00,106.39,4.00,106.45,-0.00,
86542.00,106.39,4.00,106.49,-0.00,
86591.00,106.61,4.00,106.57,0.00,
86640.00,107.52,4.00,106.76,0.00,
86690.00,107.52,4.00,106.89,0.00,
86739.00,106.46,4.00,106.90,-0.00,
86788.00,106.57,4.00,106.94,-0.00,
86837.00,106.57,4.00,106.93,0.00,
86888.00,107.08,4.00,106.84,-0.00,
86940.00,106.97,4.00,106.73,0.00,
86989.00,107.70,4.00,106.98,-0.00,
87038.00,107.70,4.00,107.21,0.00,
87087.00,107.66,4.00,107.42,-0.00,
87136.00,107.77,4.00,107.56,-0.00,
87186.00,107.22,4.00,107.61,0.00,
87235.00,107.29,4.00,107.53,-0.00,
87285.00,107.30,4.00,107.45,0.00,
87334.00,107.44,4.00,107.41,-0.00,
87383.00,107.44,4.00,107.34,0.00,
87438.00,106.64,4.00,107.22,-0.00,
87488.00,106.71,4.00,107.11,-0.00,
87537.00,106.97,4.00,107.04,0.00,
87586.00,106.97,4.00,106.94,0.00,
87638.00,107.33,4.00,106.92,-0.00,
87687.00,107.15,4.00,107.02,0.00,
87737.00,107.15,4.00,107.11,-0.00,
87786.00,106.20,4.00,106.96,0.00,
87835.00,106.42,4.00,106.85,-0.00,
87885.00,106.46,4.00,106.67,0.00,
87934.00,106.46,4.00,106.54,-0.00,
87983.00,107.11,4.00,106.53,-0.00,
88032.00,106.86,4.00,106.66,0.00,
88082.00,106.86,4.00,106.75,-0.00,
88131.00,106.67,4.00,106.79,0.00,
88180.00,106.82,4.00,106.86,-0.00,
88230.00,106.71,4.00,106.78,0.00,
88279.00,106.71,4.00,106.75,-0.00,
88328.00,106.86,4.00,106.75,0.00,
88381.00,105.76,4.00,106.57,0.00,
88430.00,105.76,4.00,106.36,-0.00,
88479.00,106.49,4.00,106.32,0.00,
88529.00,107.32,4.00,106.44,0.00,
88578.00,106.48,4.00,106.36,0.00,
88627.00,106.48,4.00,106.51,-0.00,
88677.00,107.10,4.00,106.77,0.00,
88727.00,107.10,4.00,106.90,0.00,
88776.00,107.10,4.00,106.85,-0.00,
88825.00,106.98,4.00,106.95,0.00,
88874.00,107.38,4.00,107.13,-0.00,
88929.00,107.52,4.00,107.22,0.00,
88980.00,107.52,4.00,107.30,-0.00,
89029.00,107.20,4.00,107.32,-0.00,
89081.00,107.60,4.00,107.44,-0.00,
89130.00,106.97,4.00,107.36,0.00,
89179.00,106.97,4.00,107.25,-0.00,
89230.00,107.27,4.00,107.20,0.00,
89279.00,107.05,4.00,107.17,0.00,
89328.00,107.05,4.00,107.06,-0.00,
89378.00,107.08,4.00,107.08,0.00,
89427.00,106.86,4.00,107.06,0.00,
89476.00,106.86,4.00,106.98,-0.00,
89525.00,107.40,4.00,107.05,0.00,
89576.00,107.08,4.00,107.06,0.00,
89625.00,106.56,4.00,106.95,-0.00,
89674.00,106.56,4.00,106.89,-0.00,
89723.00,106.49,4.00,106.82,0.00,
89773.00,106.86,4.00,106.71,-0.00,
89825.00,106.38,4.00,106.57,0.00,
89875.00,106.38,4.00,106.53,-0.00,
89924.00,106.89,4.00,106.60,0.00,
89973.00,106.56,4.00,106.61,0.00,
90023.00,106.56,4.00,106.55,-0.00,
90072.00,105.91,4.00,106.46,0.00,
90121.00,106.31,4.00,106.45,-0.00,
90171.00,106.31,4.00,106.33,0.00,
90221.00,106.01,4.00,106.22,-0.00,
90270.00,105.94,4.00,106.10,-0.00,
90319.00,106.01,4.00,106.12,0.00,
90368.00,106.01,4.00,106.06,0.00,
90423.00,106.38,4.00,106.07,-0.00,
90474.00,106.85,4.00,106.24,0.00,
90526.00,107.10,4.00,106.47,0.00,
90575.00,107.10,4.00,106.69,-0.00,
90624.00,107.39,4.00,106.96,-0.00,
90673.00,107.46,4.00,107.18,0.00,
90724.00,107.46,4.00,107.30,-0.00,
90773.00,107.42,4.00,107.37,-0.00,
90822.00,106.91,4.00,107.33,-0.00,
90871.00,107.20,4.00,107.29,-0.00,
90921.00,107.20,4.00,107.24,0.00,
90970.00,106.98,4.00,107.14,-0.00,
91019.00,107.31,4.00,107.12,-0.00,
91069.00,107.31,4.00,107.20,0.00,
91119.00,106.98,4.00,107.16,-0.00,
91168.00,106.43,4.00,107.00,-0.00,
91220.00,106.40,4.00,106.88,-0.00,
91269.00,106.40,4.00,106.70,0.00,
91319.00,106.14,4.00,106.47,0.00,
91369.00,106.79,4.00,106.43,-0.00,
91418.00,106.79,4.00,106.50,0.00,
91467.00,106.32,4.00,106.49,-0.00,
91517.00,106.57,4.00,106.52,-0.00,
91566.00,105.77,4.00,106.45,0.00,
91615.00,105.77,4.00,106.25,-0.00,
91665.00,106.94,4.00,106.27,0.00,
91715.00,105.89,4.00,106.19,0.00,
91764.00,105.89,4.00,106.05,-0.00,
91813.00,106.54,4.00,106.20,0.00,
91863.00,106.40,4.00,106.33,0.00,
91918.00,105.37,4.00,106.01,-0.00,
91970.00,105.37,4.00,105.91,-0.00,
92020.00,105.85,4.00,105.91,0.00,
92069.00,106.07,4.00,105.81,0.00,
92118.00,106.61,4.00,105.86,-0.00,
92168.00,106.61,4.00,106.10,0.00,
92218.00,106.10,4.00,106.25,-0.00,
92267.00,106.76,4.00,106.43,-0.00,
92316.00,106.76,4.00,106.57,0.00,
92366.00,105.77,4.00,106.40,-0.00,
92415.00,106.61,4.00,106.40,-0.00,
92464.00,106.03,4.00,106.39,0.00,
92515.00,106.03,4.00,106.24,-0.00,
92564.00,107.11,4.00,106.31,0.00,
92613.00,106.97,4.00,106.55,0.00,
92665.00,106.97,4.00,106.62,-0.00,
92714.00,107.30,4.00,106.87,0.00,
92763.00,107.19,4.00,107.11,0.00,
92812.00,107.04,4.00,107.09,-0.00,
92862.00,107.04,4.00,107.10,-0.00,
92912.00,106.24,4.00,106.96,0.00,
92961.00,106.78,4.00,106.86,-0.00,
93010.00,106.78,4.00,106.78,0.00,
93059.00,106.56,4.00,106.68,-0.00,
93108.00,106.09,4.00,106.49,-0.00,
93158.00,106.09,4.00,106.46,-0.00,
93207.00,106.60,4.00,106.43,0.00,
93257.00,106.53,4.00,106.38,0.00,
93306.00,105.65,4.00,106.19,-0.00,
93355.00,105.65,4.00,106.10,-0.00,
93422.00,107.18,4.00,106.32,0.00,
93471.00,105.65,4.00,106.13,0.00,
93521.00,106.49,4.00,106.12,-0.00,
93570.00,106.49,4.00,106.29,0.00,
93619.00,106.31,4.00,106.42,-0.00,
93669.00,105.90,4.00,106.17,-0.00,
93718.00,106.63,4.00,106.36,-0.00,
93768.00,106.63,4.00,106.39,0.00,
93817.00,105.54,4.00,106.20,-0.00,
93866.00,106.67,4.00,106.28,-0.00,
93915.00,106.67,4.00,106.43,0.00,
93964.00,106.93,4.00,106.49,-0.00,
94014.00,106.34,4.00,106.43,0.00,
94064.00,105.87,4.00,106.50,-0.00,
94116.00,105.87,4.00,106.34,0.00,
94165.00,107.25,4.00,106.45,0.00,
94214.00,107.00,4.00,106.47,0.00,
94263.00,107.00,4.00,106.60,-0.00,
94314.00,106.31,4.00,106.69,0.00,
94363.00,106.78,4.00,106.87,-0.00,
94412.00,107.18,4.00,106.85,0.00,
94461.00,107.18,4.00,106.89,-0.00,
94511.00,106.62,4.00,106.81,-0.00,
94560.00,107.10,4.00,106.97,-0.00,
94610.00,107.10,4.00,107.04,0.00,
94660.00,106.92,4.00,106.99,-0.00,
94709.00,106.74,4.00,106.90,-0.00,
94758.00,106.92,4.00,106.96,0.00,
94810.00,106.92,4.00,106.92,0.00,
94866.00,106.48,4.00,106.80,-0.00,
94916.00,107.14,4.00,106.84,-0.00,
94965.00,105.53,4.00,106.60,0.00,
95014.00,105.53,4.00,106.32,-0.00,
95064.00,106.00,4.00,106.14,0.00,
95113.00,106.48,4.00,106.14,0.00,
95163.00,106.48,4.00,106.01,0.00,
95212.00,106.67,4.00,106.23,-0.00,
95262.00,106.48,4.00,106.42,0.00,
95311.00,106.70,4.00,106.56,-0.00,
95360.00,106.70,4.00,106.61,0.00,
95409.00,105.97,4.00,106.50,-0.00,
95460.00,106.45,4.00,106.46,-0.00,
95509.00,106.45,4.00,106.45,0.00,
95561.00,106.23,4.00,106.36,-0.00,
95611.00,107.29,4.00,106.48,-0.00,
95660.00,106.92,4.00,106.67,0.00,
95709.00,106.92,4.00,106.76,-0.00,
95759.00,105.79,4.00,106.63,0.00,
95809.00,106.78,4.00,106.74,-0.00,
95858.00,106.78,4.00,106.64,0.00,
95907.00,106.78,4.00,106.61,-0.00,
95957.00,106.41,4.00,106.51,-0.00,
96006.00,107.13,4.00,106.77,-0.00,
96055.00,107.13,4.00,106.84,0.00,
96105.00,107.28,4.00,106.94,-0.00,
96155.00,106.65,4.00,106.92,0.00,
96204.00,106.65,4.00,106.97,-0.00,
96256.00,106.84,4.00,106.91,0.00,
96305.00,107.38,4.00,106.96,0.00,
96361.00,107.27,4.00,106.96,0.00,
96411.00,107.27,4.00,107.08,-0.00,
96460.00,107.60,4.00,107.27,0.00,
96509.00,106.22,4.00,107.15,0.00,
96558.00,106.22,4.00,106.91,-0.00,
96608.00,107.05,4.00,106.87,0.00,
96658.00,106.90,4.00,106.80,0.00,
96707.00,106.76,4.00,106.63,-0.00,
96756.00,106.76,4.00,106.74,0.00,
96806.00,107.05,4.00,106.90,0.00,
96855.00,106.69,4.00,106.83,0.00,
96904.00,106.69,4.00,106.79,-0.00,
96955.00,107.09,4.00,106.86,0.00,
97006.00,106.54,4.00,106.81,0.00,
97056.00,106.76,4.00,106.75,-0.00,
97105.00,106.76,4.00,106.77,0.00,
97154.00,106.54,4.00,106.74,-0.00,
97204.00,106.25,4.00,106.57,-0.00,
97254.00,106.25,4.00,106.51,-0.00,
97303.00,107.13,4.00,106.59,0.00,
97353.00,106.36,4.00,106.51,0.00,
97402.00,105.71,4.00,106.34,-0.00,
97451.00,105.71,4.00,106.23,0.00,
97501.00,106.15,4.00,106.21,0.00,
97551.00,106.26,4.00,106.04,0.00,
97600.00,106.26,4.00,106.02,-0.00,
97650.00,106.26,4.00,106.13,-0.00,
97702.00,106.11,4.00,106.21,0.00,
97751.00,106.88,4.00,106.35,-0.00,
97800.00,106.88,4.00,106.48,0.00,
97856.00,106.69,4.00,106.56,-0.00,
97905.00,106.44,4.00,106.60,-0.00,
97955.00,106.73,4.00,106.72,-0.00,
98004.00,106.73,4.00,106.69,0.00,
98053.00,106.58,4.00,106.63,-0.00,
98103.00,107.57,4.00,106.81,-0.00,
98153.00,107.57,4.00,107.03,0.00,
98202.00,107.35,4.00,107.16,-0.00,
98251.00,107.20,4.00,107.25,-0.00,
98301.00,106.51,4.00,107.24,0.00,
98350.00,106.51,4.00,107.03,-0.00,
98399.00,106.73,4.00,106.86,0.00,
98452.00,107.09,4.00,106.81,0.00,
98501.00,107.09,4.00,106.78,0.00,
98550.00,106.98,4.00,106.88,-0.00,
98600.00,107.09,4.00,106.99,-0.00,
98649.00,106.80,4.00,107.01,0.00,
98698.00,106.80,4.00,106.95,-0.00,
98748.00,105.85,4.00,106.70,0.00,
98797.00,106.22,4.00,106.55,-0.00,
98846.00,106.22,4.00,106.37,0.00,
98895.00,106.07,4.00,106.23,-0.00,
98945.00,106.29,4.00,106.13,-0.00,
98994.00,105.70,4.00,106.10,0.00,
99044.00,105.70,4.00,106.00,-0.00,
99093.00,105.81,4.00,105.92,0.00,
99145.00,105.96,4.00,105.89,0.00,
99194.00,105.96,4.00,105.83,0.00,
99243.00,105.67,4.00,105.82,-0.00,
99292.00,106.33,4.00,105.95,-0.00,
99347.00,106.55,4.00,106.09,0.00,
99397.00,106.55,4.00,106.21,-0.00,
99446.00,106.36,4.00,106.29,-0.00,
99496.00,106.43,4.00,106.44,-0.00,
99545.00,106.43,4.00,106.46,0.00,
99594.00,106.98,4.00,106.55,-0.00,
99644.00,107.24,4.00,106.69,0.00,
99693.00,106.76,4.00,106.77,-0.00,
99742.00,106.76,4.00,106.83,-0.00,
99792.00,106.43,4.00,106.83,0.00,
99843.00,107.01,4.00,106.84,-0.00,
99893.00,107.01,4.00,106.79,0.00,
99943.00,107.12,4.00,106.87,-0.00,
99992.00,106.90,4.00,106.89,0.00,
100042.00,106.57,4.00,106.92,-0.00,
100091.00,106.57,4.00,106.83,-0.00,
100140.00,107.33,4.00,106.90,0.00,
100190.00,106.46,4.00,106.77,0.00,
100240.00,106.46,4.00,106.68,-0.00,
100289.00,106.64,4.00,106.69,0.00,
100339.00,106.09,4.00,106.60,0.00,
100388.00,107.01,4.00,106.53,-0.00,
100438.00,107.01,4.00,106.64,0.00,
100487.00,106.46,4.00,106.64,-0.00,
100537.00,106.31,4.00,106.58,-0.00,
100589.00,106.79,4.00,106.71,0.00,
100639.00,106.79,4.00,106.67,0.00,
100688.00,105.98,4.00,106.47,-0.00,
100737.00,106.17,4.00,106.41,-0.00,
100787.00,106.17,4.00,106.38,0.00,
100842.00,106.13,4.00,106.25,-0.00,
100892.00,106.35,4.00,106.16,-0.00,
100942.00,106.61,4.00,106.28,0.00,
100991.00,106.61,4.00,106.37,0.00,
101040.00,106.13,4.00,106.36,-0.00,
101091.00,106.42,4.00,106.42,-0.00,
101140.00,106.42,4.00,106.44,0.00,
101190.00,106.42,4.00,106.40,-0.00,
101239.00,106.32,4.00,106.34,0.00,
101291.00,106.39,4.00,106.39,-0.00,
101340.00,106.39,4.00,106.39,0.00,
101391.00,106.46,4.00,106.39,-0.00,
101440.00,106.17,4.00,106.34,0.00,
101489.00,106.17,4.00,106.31,-0.00,
101539.00,106.82,4.00,106.40,0.00,
101588.00,106.42,4.00,106.41,0.00,
101638.00,106.57,4.00,106.43,-0.00,
101687.00,106.57,4.00,106.51,0.00,
101737.00,106.71,4.00,106.62,-0.00,
101787.00,107.33,4.00,106.72,0.00,
101836.00,107.33,4.00,106.90,0.00,
101885.00,106.75,4.00,106.94,-0.00,
101935.00,106.46,4.00,106.92,-0.00,
101988.00,106.68,4.00,106.91,0.00,
102037.00,106.68,4.00,106.78,0.00,
102087.00,106.17,4.00,106.54,-0.00,
102136.00,106.49,4.00,106.49,-0.00,
102185.00,106.19,4.00,106.44,0.00,
102235.00,106.19,4.00,106.34,-0.00,
102284.00,106.23,4.00,106.25,0.00,
102339.00,106.66,4.00,106.35,0.00,
102389.00,106.66,4.00,106.39,0.00,
102439.00,106.15,4.00,106.38,-0.00,
102488.00,105.57,4.00,106.25,-0.00,
102537.00,106.33,4.00,106.28,-0.00,
102588.00,106.33,4.00,106.21,0.00,
102637.00,105.89,4.00,106.06,-0.00,
102689.00,106.52,4.00,106.13,-0.00,
102739.00,106.52,4.00,106.32,0.00,
102788.00,106.70,4.00,106.39,-0.00,
102837.00,105.60,4.00,106.25,0.00,
102888.00,105.93,4.00,106.25,-0.00,
102937.00,105.93,4.00,106.14,0.00,
102986.00,105.75,4.00,105.98,-0.00,
103036.00,105.75,4.00,105.79,-0.00,
103085.00,105.75,4.00,105.82,0.00,
103135.00,105.60,4.00,105.76,0.00,
103185.00,106.00,4.00,105.77,-0.00,
103234.00,105.63,4.00,105.75,0.00,
103284.00,105.63,4.00,105.72,-0.00,
103333.00,106.54,4.00,105.88,0.00,
103385.00,106.72,4.00,106.10,0.00,
103434.00,107.38,4.00,106.38,-0.00,
103485.00,107.41,4.00,106.73,0.00,
103534.00,107.34,4.00,107.08,-0.00,
103584.00,106.94,4.00,107.16,-0.00,
103633.00,106.94,4.00,107.20,-0.00,
103682.00,106.79,4.00,107.08,0.00,
103732.00,106.24,4.00,106.85,-0.00,
103782.00,107.01,4.00,106.78,-0.00,
103836.00,107.08,4.00,106.81,0.00,
103886.00,107.01,4.00,106.83,-0.00,
103936.00,106.35,4.00,106.74,-0.00,
103985.00,106.35,4.00,106.76,-0.00,
104036.00,106.20,4.00,106.60,0.00,
104088.00,105.91,4.00,106.36,-0.00,
104137.00,105.91,4.00,106.15,-0.00,
104186.00,105.91,4.00,106.06,0.00,
104235.00,105.98,4.00,105.98,0.00,
104285.00,106.42,4.00,106.03,0.00,
104335.00,106.42,4.00,106.13,0.00,
104384.00,105.95,4.00,106.14,-0.00,
104433.00,105.84,4.00,106.12,-0.00,
104482.00,105.77,4.00,106.08,0.00,
104532.00,105.77,4.00,105.95,0.00,
104581.00,106.31,4.00,105.93,0.00,
104630.00,105.84,4.00,105.90,0.00,
104680.00,105.84,4.00,105.91,-0.00,
104730.00,104.78,4.00,105.71,0.00,
104782.00,105.91,4.00,105.74,-0.00,
104831.00,105.29,4.00,105.53,0.00,
104880.00,105.29,4.00,105.42,-0.00,
104929.00,105.58,4.00,105.37,0.00,
104980.00,105.40,4.00,105.50,0.00,
105029.00,105.40,4.00,105.39,-0.00,
105078.00,105.90,4.00,105.52,0.00,
105127.00,106.23,4.00,105.70,0.00,
105176.00,106.34,4.00,105.86,-0.00,
105226.00,106.34,4.00,106.04,-0.00,
105276.00,106.52,4.00,106.27,-0.00,
105325.00,106.37,4.00,106.36,0.00,
105380.00,106.48,4.00,106.41,-0.00,
105429.00,106.48,4.00,106.44,0.00,
105481.00,106.59,4.00,106.49,-0.00,
105532.00,107.03,4.00,106.59,0.00,
105581.00,107.03,4.00,106.72,0.00,
105630.00,106.51,4.00,106.73,-0.00,
105680.00,106.92,4.00,106.81,-0.00,
105729.00,106.19,4.00,106.73,0.00,
105779.00,106.19,4.00,106.56,-0.00,
105829.00,106.58,4.00,106.48,0.00,
105878.00,106.22,4.00,106.42,0.00,
105928.00,106.22,4.00,106.28,-0.00,
105977.00,105.02,4.00,106.05,0.00,
106026.00,104.83,4.00,105.78,-0.00,
106076.00,105.57,4.00,105.57,0.00,
106126.00,105.57,4.00,105.44,0.00,
106178.00,105.20,4.00,105.24,-0.00,
106228.00,105.64,4.00,105.36,-0.00,
106277.00,105.64,4.00,105.52,0.00,
106326.00,105.24,4.00,105.46,-0.00,
106376.00,105.06,4.00,105.35,-0.00,
106426.00,105.71,4.00,105.46,0.00,
106475.00,105.71,4.00,105.47,0.00,
106525.00,105.49,4.00,105.44,-0.00,
106574.00,104.11,4.00,105.22,-0.00,
106624.00,104.11,4.00,105.03,-0.00,
106673.00,105.35,4.00,104.96,0.00,
106723.00,105.27,4.00,104.87,0.00,
106773.00,105.78,4.00,104.93,-0.00,
106822.00,105.78,4.00,105.26,0.00,
106880.00,105.27,4.00,105.49,-0.00,
106929.00,105.85,4.00,105.59,-0.00,
106980.00,106.29,4.00,105.80,0.00,
107029.00,106.29,4.00,105.90,-0.00,
107078.00,106.65,4.00,106.07,-0.00,
107128.00,106.32,4.00,106.28,0.00,
107177.00,106.32,4.00,106.37,-0.00,
107226.00,106.21,4.00,106.36,0.00,
107276.00,106.25,4.00,106.35,-0.00,
